
[11:17:35][INFO] Main | Ncurses windows init...
[11:17:35][INFO] Main | Ncurses windows init success!
[11:17:35][INFO] Main | Game Window created!
[11:17:35][INFO] Main | Tools menu created!
[11:17:35][INFO] Main | New level load : 1
[11:17:35][INFO] Main | Level 1 : 156 items loaded
[11:17:37][INFO] Main | Level value : 7090
[11:17:38][INFO] Main | Level value : 7090
[11:17:39][INFO] Main | Level value : 7090
[11:17:39][INFO] Main | Level value : 7090
[11:17:40][INFO] Main | Level value : 7090
[11:17:40][INFO] Main | Level value : 7090
[11:19:29][INFO] Main | Stopping game...
[11:19:29][INFO] Main | Ncurses windows deleted!
[11:19:29][INFO] End of the session of the game.

