
[15:54:48][INFO] Main | Ncurses windows init...
[15:54:48][INFO] Main | Ncurses windows init success!
[15:54:48][INFO] Main | Game Window created!
[15:54:48][INFO] Main | Tools menu created!
[15:54:48][INFO] Main | New level load : 1
[15:54:48][INFO] Main | Level 1 : 156 items loaded
[15:54:53][INFO] Main | Level value : 7090
[15:55:14][INFO] Main | Stopping game...
[15:55:14][INFO] Main | Ncurses windows deleted!
[15:55:14][INFO] End of the session of the game.

