
[00:29:29][INFO] Network | Init network...
[00:29:29][INFO] Network | Port : 1234, Host : localhost
[00:29:29][INFO] Main | Ncurses windows init...
[00:29:29][INFO] Main | Ncurses windows init...
[00:29:29][INFO] Main | Ncurses windows init success!
[00:29:29][INFO] Main | Ncurses windows init success!
[00:29:29][INFO] Main | Game Window created!
[00:29:29][INFO] Main | Game Window created!
[00:29:29][INFO] Main | Tools menu created!
[00:29:29][INFO] Main | New level load : 1
[00:29:29][INFO] Main | Level 1 : 156 items loaded
[00:29:29][INFO] Main | Tools menu created!
[00:29:29][INFO] Main | New level load : 1
[00:29:29][INFO] Main | Level 1 : 156 items loaded
[00:29:38][INFO] Main | Level value : CCCCFD40
[00:29:41][INFO] Main | Stopping game...
[00:29:41][INFO] Main | Ncurses windows deleted!
[00:29:41][INFO] End of the session of the game.

