
[00:28:02][INFO] Network | Init network...
[00:28:02][INFO] Main | Ncurses windows init...
[00:28:02][INFO] Main | Ncurses windows init...
[00:28:02][INFO] Main | Ncurses windows init success!
[00:28:02][INFO] Main | Ncurses windows init success!
[00:28:02][INFO] Main | Game Window created!
[00:28:02][INFO] Main | Game Window created!
[00:28:02][INFO] Main | Tools menu created!
[00:28:02][INFO] Main | Tools menu created!
[00:28:02][INFO] Main | New level load : 1
[00:28:02][INFO] Main | Level 1 : 156 items loaded
[00:28:02][INFO] Main | New level load : 1
[00:28:02][INFO] Main | Level 1 : 156 items loaded
[00:28:09][INFO] Main | Stopping game...
[00:28:09][INFO] Main | Ncurses windows deleted!
[00:28:09][INFO] End of the session of the game.

