
[01:20:51][INFO] Network | Init network...
[01:20:51][INFO] Network | Port : 1236, Host : 127.0.0.1
[01:20:51][INFO] Network | Message status sent
[01:20:51][INFO] Network | Message status received
[01:20:51][INFO] Main | Ncurses windows init...
[01:20:51][INFO] Main | Ncurses windows init success!
[01:20:51][INFO] Main | Game Window created!
[01:20:51][INFO] Main | Tools menu created!
[01:20:51][INFO] Main | New level load : 1
[01:20:51][INFO] Main | Level 1 : 156 items loaded
